ds,yhat
2024-07-24 00:00:00,26.21905947873875
2024-07-24 01:00:00,26.510035097300072
2024-07-24 02:00:00,26.96301401663338
2024-07-24 03:00:00,27.535195230479832
2024-07-24 04:00:00,28.193103143462675
2024-07-24 05:00:00,28.920694094561163
2024-07-24 06:00:00,29.723995345808202
2024-07-24 07:00:00,30.64755276560468
2024-07-24 08:00:00,31.785282461220323
2024-07-24 09:00:00,33.24263859086429
2024-07-24 10:00:00,35.034602320359355
2024-07-24 11:00:00,36.974815600746645
2024-07-24 12:00:00,38.657254806889064
2024-07-24 13:00:00,39.59174788783983
2024-07-24 14:00:00,39.44214242027868
2024-07-24 15:00:00,38.22036138234037
2024-07-24 16:00:00,36.29967687577711
2024-07-24 17:00:00,34.2302738456061
2024-07-24 18:00:00,32.4779751845673
2024-07-24 19:00:00,31.252670290648695
2024-07-24 20:00:00,30.513618657245235
2024-07-24 21:00:00,30.105536936438796
2024-07-24 22:00:00,29.901583584973434
2024-07-24 23:00:00,29.858739464296285
2024-07-25 00:00:00,29.983921121414248
